,Source,Destination,Source Port,Destination Port
0,192.168.1.33,204.178.31.8,56109,564
1,204.178.31.8,192.168.1.33,564,56109
2,192.168.1.33,204.178.31.8,56109,564
3,192.168.1.33,204.178.31.8,56109,564
4,204.178.31.8,192.168.1.33,564,56109
5,192.168.1.33,204.178.31.8,56109,564
6,192.168.1.33,204.178.31.8,56109,564
7,204.178.31.8,192.168.1.33,564,56109
8,192.168.1.33,204.178.31.8,56109,564
9,204.178.31.8,192.168.1.33,564,56109
10,192.168.1.33,204.178.31.8,56109,564
11,204.178.31.8,192.168.1.33,564,56109
12,192.168.1.33,204.178.31.8,56109,564
13,204.178.31.8,192.168.1.33,564,56109
14,192.168.1.33,204.178.31.8,56109,564
15,204.178.31.8,192.168.1.33,564,56109
16,192.168.1.33,204.178.31.8,56109,564
17,192.168.1.33,204.178.31.8,56109,564
18,204.178.31.8,192.168.1.33,564,56109
19,192.168.1.33,204.178.31.8,56109,564
20,192.168.1.33,204.178.31.8,56109,564
21,204.178.31.8,192.168.1.33,564,56109
22,192.168.1.33,204.178.31.8,56109,564
23,204.178.31.8,192.168.1.33,564,56109
24,192.168.1.33,204.178.31.8,56109,564
25,204.178.31.8,192.168.1.33,564,56109
26,192.168.1.33,204.178.31.8,56109,564
27,192.168.1.33,204.178.31.8,56109,564
28,204.178.31.8,192.168.1.33,564,56109
29,192.168.1.33,204.178.31.8,56109,564
30,192.168.1.33,204.178.31.8,56109,564
31,204.178.31.8,192.168.1.33,564,56109
32,192.168.1.33,204.178.31.8,56109,564
33,204.178.31.8,192.168.1.33,564,56109
34,192.168.1.33,204.178.31.8,56109,564
35,192.168.1.33,204.178.31.8,56109,564
36,204.178.31.8,192.168.1.33,564,56109
37,192.168.1.33,204.178.31.8,56109,564
38,192.168.1.33,204.178.31.8,56109,564
39,204.178.31.8,192.168.1.33,564,56109
40,192.168.1.33,204.178.31.8,56109,564
41,204.178.31.8,192.168.1.33,564,56109
42,192.168.1.33,204.178.31.8,56109,564
43,204.178.31.8,192.168.1.33,564,56109
44,192.168.1.33,204.178.31.8,56109,564
45,204.178.31.8,192.168.1.33,564,56109
46,192.168.1.33,204.178.31.8,56109,564
47,204.178.31.8,192.168.1.33,564,56109
48,192.168.1.33,204.178.31.8,56109,564
49,204.178.31.8,192.168.1.33,564,56109
50,192.168.1.33,204.178.31.8,56109,564
51,204.178.31.8,192.168.1.33,564,56109
52,192.168.1.33,204.178.31.8,56109,564
53,192.168.1.33,204.178.31.8,56109,564
54,204.178.31.8,192.168.1.33,564,56109
55,192.168.1.33,204.178.31.8,56109,564
56,192.168.1.33,204.178.31.8,56109,564
57,204.178.31.8,192.168.1.33,564,56109
58,192.168.1.33,204.178.31.8,56109,564
59,204.178.31.8,192.168.1.33,564,56109
60,192.168.1.33,204.178.31.8,56109,564
61,204.178.31.8,192.168.1.33,564,56109
